,Hotel_Address,Average_Score,Hotel_Name,Negative_Review,Positive_Review,Reviewer_Score,Tags,lat,lng,Review_Date
151206,33 avenue de Friedland 8th arr 75008 Paris France,7.9,Royal Hotel Champs Elys es, Room to small The bathroom was not spacious enough The design of the room was not appropriate They did not provide coffee and tea even cattel Was so poor, The location,4.6,"[' Leisure trip ', ' Solo traveler ', ' Classic Single Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",48.874046299999996,2.300196,2017-07-29
151416,33 Avenue Du Docteur Arnold Netter 12th arr 75012 Paris France,7.8,Best Western Allegro Nation, issues with WiFi average quality of the room considering it s a 4 star hotel weird hotel policy asking guests to leave keys to their room every time they leave the hotel, fairly good price friendly staff,5.8,"[' Business trip ', ' Solo traveler ', ' Special Offer Double Room 3 nights minimum ', ' Stayed 3 nights ']",48.8430891,2.4049867000000003,2017-02-06
151453,33 avenue George V 8th arr 75008 Paris France,9.0,Prince de Galles a Luxury Collection hotel Paris, The hotel was not properly clean The mirrors in the elevator were dirty the carpet wasn t vacuumed properly the consoles in the lobby had Dust on them,No Positive,7.1,"[' Leisure trip ', ' Group ', ' Art Deco Double Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",48.869143,2.3006526000000003,2017-01-05
151493,33 Beaufort Gardens Kensington and Chelsea London SW3 1PP United Kingdom,8.8,The Beaufort,No Negative, There is an elevator in the building to get to the upper floors This lift is very old and it is very very difficult to open the gate to get in It also takes a long time to go from floor to floor There is always coffee tea or soft drinks available from a lovely staff delivered to your room The same is true for tea in the late afternoon ,8.3,"[' Leisure trip ', ' Solo traveler ', ' Single Room ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",51.4978466,-0.164156,2017-02-08
151703,33 Boulevard du Montparnasse 6th arr 75006 Paris France,8.5,H tel La Parizienne by Elegancia, compact lift and small size rooms services were not up to the mark i will not consider it 4 standard reception didnt understand english properly, interior decoration and location,6.3,"[' Leisure trip ', ' Family with young children ', ' Adjacent Double Rooms ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",48.8450894,2.3209503,2017-07-20
151827,33 place de la Madeleine 8th arr 75008 Paris France,8.4,Madeleine Plaza, Room on the tiny side but I m guessing most rooms in Paris are, Friendly staff good English Nice area easy to walk to most tourist attractions if you have a good map Lovely place very clean,7.5,"[' Leisure trip ', ' Couple ', ' Cosy Double Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",48.8710402,2.3248014,2017-06-29
151965,33 Roland Gardens Kensington and Chelsea London SW7 3PF United Kingdom,8.0,Blakes Hotel, The tv wasn t working The floor was very sticky The blanket has a cigarette burn We order hot drinks late night and they forgot about it, The decor and the interiors was amazing The morning staff was very nice and professional When we complain about the night staff service they reduce all the room services charges,7.5,"[' Leisure trip ', ' Couple ', ' Luxury Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",51.48924470000001,-0.18031960000000002,2017-07-23
152041,33 Rue Cambon 1st arr 75001 Paris France,8.7,Castille Paris Starhotels Collezione, Can t really think of a thing there was a fair amount of nearby construction that made getting in out a bit of an inconvenience but obviously that s out of their control , Great location great rooms super helpful staff We were in a crisis stolen passports for a family of 5 simple need was location near Embassy got far beyond that with great rooms a staff that went far beyond to get needed documents printed organized so we could focus on rebooking rest of trip A lifesaver ,10.0,"[' Leisure trip ', ' Family with young children ', ' 2 rooms ', ' Stayed 1 night ', ' Submitted from a mobile device ']",48.86829779999999,2.3268027,2017-10-07
152204,33 Rue Dauphine 6th arr 75006 Paris France,9.4,H tel D Aubusson, There was no view from the window but that wasn t a big problem , Friendly service beautiful room absolutely fantastic location away from crowds ,10.0,"[' Leisure trip ', ' Couple ', ' Deluxe Double Room ', ' Stayed 5 nights ', ' Submitted from a mobile device ']",48.854732899999995,2.3395277,2017-07-27
152498,33 rue Marbeuf 8th arr 75008 Paris France,8.5,Hotel Oscar, Rooms much smaller than what appeared on website Microwave wasnt working, Awesome location literally a stone throw from champs elysees friendly and helpful staff ,8.8,"[' Leisure trip ', ' Family with young children ', ' Deluxe Suite ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",48.8694755,2.3046954,2017-11-07
152582,33 rue Raymond Losserand 14th arr 75014 Paris France,7.7,Best Western Bretagne Montparnasse,No Negative, Cappuccino at reception area was great and available 24hrs with a choice of a fresh fruit every day all complimentary Staff was really nice very friendly and always helpful ,7.9,"[' Leisure trip ', ' Group ', ' Double Room ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",48.835431400000004,2.321142,2017-07-31
152770,335 337 High Street Stratford Newham London E15 2TF United Kingdom,9.0,The Westbridge Hotel, Could not use internet on my TV which was very disappointing That was the reason why I chose this hotel because it had a smart tv , Staff were helpful Facilities were nice Nice complimentary snacks,8.3,"[' Business trip ', ' Solo traveler ', ' Standard Double Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",51.5373904,-0.0023366999999999997,2017-03-08
153358,335 337 Old Street Hackney London EC1V 9LL United Kingdom,8.9,Courthouse Hotel Shoreditch, Nothing, Wonderfully spacious for London Weren t there long enough to enjoy all the hotel had to offer Would definitely return The extra hour for check out was much appreciated,10.0,"[' Leisure trip ', ' Couple ', ' Dalston King ', ' Stayed 1 night ', ' Submitted from a mobile device ']",51.5273442,-0.0796152,2017-03-08
153617,336 337 Strand London Westminster Borough London WC2R 1HA United Kingdom,9.2,ME London by Melia, Room was dusty Appliances that didn t work Broken handles on the bathroom doors Noisy Outside furniture weathered and dirty A lot of noise from Radio Rooftop Couldn t sleep until it closed after midnight,No Positive,5.4,"[' Leisure trip ', ' Couple ', ' Superior Double Room with Balcony and City View ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",51.511879,-0.118552,2017-02-08
154088,34 37 Bedford Place Bloomsbury Camden London WC1B 5JR United Kingdom,8.1,Grange Clarendon Hotel, very hot in top floor fan in the room but still hot had room service one night very expensive and to have breakfast in the hotel was expensive so we went out for breakfast, location great staff friendly,7.5,"[' Leisure trip ', ' Family with young children ', ' Double Room ', ' Stayed 2 nights ']",51.519793299999996,-0.1241844,2017-02-08
154457,34 44 Barkston Gardens Kensington and Chelsea London SW5 0EW United Kingdom,9.1,Hotel Indigo London Kensington, Nothing I would have no hesitation in going there again tomorrow , Upon arrival the front office manager was extremely helpful and stored our bags as we had arrived quite early He mad an effort to have our room cleaned as a priority All the reception staff were fantastic Helpful obliging full of information and suggestions and friendly The included breakfast was absolutely wonderful and the staff there also were first class The position of the hotel is second to none About 70m to Earls Court Subway and you can easily get anywhere in London from that station Our room was spacious wonderfully decorated in a modern and funky way The linen was of high quality and the bathroom was superb ,10.0,"[' Leisure trip ', ' Couple ', ' Queen Room ', ' Stayed 7 nights ']",51.4920287,-0.1917801,2017-03-08
154810,34 Avenue Porte d Asni res 17th arr 75017 Paris France,7.9,Novotel Paris 17, The breakfast room was occupied by a group on both mornings The temporary pop up room adequate Food quite basic and ok , The room size and bathroom very adequate and clean Queen room with a view of Eiffel Tower very good on Bastille Night and on other nights when the tower is lit up If you like walking then this is a perfectly ok hotel to stay at More or less a straight walk along the Blvd Wagmar for 30 minutes into Arc de Triomphe Perriar train station a 15 minute walk and access to route 3 on the metro and onward connections very straight forward Gare du Nord to hotel via Metro and walk approx 45 mins with good connections Very nice restaurant on the Albert Square by Perriar station recommend L Hortensia for their traditional onion soup and salmon dish ,4.2,"[' Leisure trip ', ' Couple ', ' Executive Queen Room with Eiffel Tower View ', ' Stayed 2 nights ']",48.8920485,2.3023791,2017-07-17
154911,34 Lombard Road Battersea London SW11 3RF United Kingdom,8.0,Rafayel Hotel Spa, Everything was adequate , The first night very noisy with group of people stood outside below our first floor room and kept us awake The second night the party of people had left so all was quiet and we could sleep ,6.3,"[' Leisure trip ', ' Family with young children ', ' Standard Double Room ', ' Stayed 2 nights ']",51.4703604,-0.1779869,2017-02-08
155685,34 Norfolk Place Paddington Westminster Borough London W2 1QW United Kingdom,7.9,Norfolk Towers Paddington, As per my experience above the way the staff make you feel when you are simply asking for something you are paying for Customer service should be very high on anybody s list of requirements however common courtesy and general manners should be essential If you can t deliver these you simply should not be in a customer forward facing role , We found the bed to be comfy but actually very short The breakfast was lovely however the lady on the restaurant was not friendly approachable or accommodating at all I asked if there were more fried eggs coming out The response to my question was you do know you have to pay extra for a cooked breakfast To which my reply was I asked if there were more cooked eggs coming out Before she then proceeded to answer my question she wanted to know my room number She then went onto say breakfast finishes at 10 o clock I am aware of this and this is why I came down to breakfast at 9 15am I pointed out that I was aware of this and then went into point out that it was 9 45am and therefore it is still breakfast time At this stage I was getting most annoyed and gave her 1 final chance to ask the kitchen if more eggs were coming out She went and asked and then came to me with the answer and a slip of paper to sign for the additional cooked breakfast charge The question about the additional charge was never in dispute I just wanted an egg with my breakfast The reception staff were lovely and very professional ,7.5,"[' Leisure trip ', ' Couple ', ' Suite ', ' Stayed 1 night ', ' Submitted from a mobile device ']",51.5162883,-0.1721078,2017-03-08
157216,34 Rue de Buci 6th arr 75006 Paris France,9.0,Artus Hotel by MH, nothing, The best feature of the Hotel was the staff They were very friendly and helpful and nothing was too much trouble They recommended local restaurants and booked them for us They booked tickets to the Paris Opera Tour for us and could n t do enough to help They made us fell very welcome Great breakfast service in the restaurant as well ,9.6,"[' Leisure trip ', ' Couple ', ' Standard Double Room Ground Floor ', ' Stayed 2 nights ']",48.8535639,2.3360168999999997,2017-07-16
157274,34 rue de Moscou 8th arr 75008 Paris France,8.9,Best Western Premier Kapital Op ra, Walls are a bit thin and rooms aren t huge , Comfortable beds incredible service the woman who first checked us in was amazing spoke English was patient and helpful The gentlemen working there were also all very nice and helpful Rooms were very clean modern and classically styled and overall great ,9.6,"[' Leisure trip ', ' Family with young children ', ' Standard Double Room ', ' Stayed 4 nights ', ' Submitted from a mobile device ']",48.8814425,2.3235592,2017-07-30
157551,34 Rue Fontaine 9th arr 75009 Paris France,8.4,Timhotel Op ra Blanche Fontaine, The building is difficult to recognize from the street Once found its not friendly going in through the gate and for some rooms like mine you need to go out again The elevator did not work , The room was clean,5.0,"[' Business trip ', ' Solo traveler ', ' Double Room Single Use ', ' Stayed 1 night ']",48.8825781,2.3334805,2017-06-29
157644,34 rue Jean Mermoz 8th arr 75008 Paris France,9.1,H tel Amastan Paris, The wifi does time out and you have to re register a lot Would be better if you can take the key out with you instead of handing it back to reception every time you go out , The staff are exceptionally great Even when I asked them a question about transport Amsterdam to Paris they went out of their way to find out the correct information Room was really big and luxurious Bathroom was beautiful and bed was comfortable If I ever come to Amsterdam again this place will be home ,10.0,"[' Leisure trip ', ' Solo traveler ', ' Classic Double Room ', ' Stayed 5 nights ', ' Submitted from a mobile device ']",48.8716831,2.3123758999999997,2017-07-20
157678,34 Rue Viala 15th arr 75015 Paris France,8.8,H tel Gustave, TV sucks though everything is in french and the english shows didnt work Wifi is pretty bad because the signal is super weak Also its annoying that you cant check in until 2 But they do hold your bags so you can leave the hotel so thats ok , King bed is big and comfortable The room is a good size because its really only to sleep Bathroom was nice and modern with a big walk in shower Hotel staff was really nice and helpful in showing us good places to go for things like food or entertainment Hotel is newly renovated and in a very nice peaceful and quiet area 10 minute walk from the eiffel tower Went almost every day it was amazing ,9.6,"[' Leisure trip ', ' Group ', ' Classic Double or Twin Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",48.850205200000005,2.289043,2017-07-31
157843,346 348 Edgware Road Westminster Borough London W2 1EA United Kingdom,6.6,Best Western Maitrise Hotel Edgware Road, Room had no windows i asked for a little something like a card or flowers for my wife as it was her birthday Got nothing All the sounds from other rooms came in Neighbours were banging and slaming doors early hours of the morning Kept hearing other people flush toilets Cupboard was broken Lights above bed didnt work , The Staff member at reception was very friendly and got us complimentary breakfast as we were not happy wth the room ,4.6,"[' Couple ', ' Standard Double Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",51.521148,-0.171346,2017-07-19
158063,35 39 St Georges Drive Westminster Borough London SW1V 4DG United Kingdom,8.4,Georgian House Hotel, N A, Good location close to Victoria Station The staff were extremely welcoming the room has a shabby chic style which I personally appreciate and was clean and very comfortable The breakfast really are seriously tasty and the dining staff couldn t do more for me ,9.6,"[' Business trip ', ' Solo traveler ', ' Standard Double Twin Room ', ' Stayed 1 night ']",51.490724,-0.143868,2017-03-08
158391,35 Boulevard de la tour Maubourg 7th arr 75007 Paris France,7.9,Best Western Tour Eiffel Invalides, Have already commented in my overall review in 3 above, Hotel s location is excellent They gave me a Boulevard facing room which I had requested earlier at the time of booking I had originally thought that a 16 sq meter room would be small and not comfortable I was a little surprised that it is not so Although you it is a little cramped with the furniture but overall consider all aspects it was comfortable Their staff are was very polite and helpful Wish they increase their numbers considering it is FOUR Srar property whose major front office functions including concierge functions can not be left to single purpose at the reception,7.5,"[' Leisure trip ', ' Couple ', ' Comfort Double or Twin Room ', ' Stayed 4 nights ', ' Submitted from a mobile device ']",48.8593152,2.3104179,2017-05-07
158465,35 Charles Street Mayfair Westminster Borough London W1J 5EB United Kingdom,9.1,The Chesterfield Mayfair, The air conditioning was a bit noisy, The Hotel was convenient very clean the food was excellent the staff were friendly helpful and very polite You really great you can t knock it,10.0,"[' Leisure trip ', ' Couple ', ' Classic King Twin Room ', ' Stayed 2 nights ']",51.507689899999995,-0.14713579999999998,2017-03-08
158947,35 Ixworth Place Kensington and Chelsea London SW3 3QX United Kingdom,8.2,My Chelsea, The curtains were a bit loose so the light was annoying The safe box was not functioning well That s all, The hotel staff are trained well they do understand customers needs and they act immediately The atmosphere of the place is awesome The manager upgrade us to better room the moment I complain about the room size Absolutely great location facilities around the place name my trip much fun and easy Near tube station,9.2,"[' Leisure trip ', ' Group ', ' Superior Double Room ', ' Stayed 7 nights ', ' Submitted from a mobile device ']",51.4919083,-0.1684398,2017-07-28
159365,35 Rue Benjamin Franklin 16th arr 75016 Paris France,8.0,Eiffel Trocad ro, False advertising Parking is not on sight It is close by but u have to go 3 floors underground and are working with centimeters to get in Don t even try unless u have a tiny smart car , William was the best part of the trip He made our stay much more pleasant Walking distance to Effiel Tower The bed was comfortable other then that is a regular Paris hotel Tiny hall ways Old facility Not 4 star More like 2 ,6.3,"[' Leisure trip ', ' Travelers with friends ', ' Deluxe Twin or Double Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",48.8613055,2.2862823,2017-07-19
159493,35 Rue Caumartin 9th arr 75009 Paris France,8.9,Hotel Saint Petersbourg Opera, The wifi in the hotel is catastrophic Its very slow and most of the time is not working , The hotel is located in a very good area close to opera We had superior room and it was a very good size ,7.9,"[' Leisure trip ', ' Group ', ' Superior Double Room ', ' Stayed 6 nights ', ' Submitted from a mobile device ']",48.872174,2.328075,2017-07-30
159876,35 Rue De Berri 8th arr 75008 Paris France,8.7,H tel Champs lys es Plaza,No Negative, Absolutely Perfect Comfortable bedding and pillows Warming rack for towels Decorated cute Loved the spiral staircase for extra exercise to the 7th floor lol We ve stayed here 2 x And will be back,10.0,"[' Leisure trip ', ' Couple ', ' Executive Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",48.87370429999999,2.3061477000000004,2017-07-15
159941,35 Rue Jean Goujon 8th arr 75008 Paris France,8.1,Melia Paris Tour Eiffel, I arrived at the Hotel at 9am after a very long flight total of 13 hrs and had to wait till 2pm to get my room , I like the location also the staff were very nice and helpful ,7.9,"[' Leisure trip ', ' Solo traveler ', ' Double Room ', ' Stayed 4 nights ', ' Submitted from a mobile device ']",48.8651994,2.3045076,2017-07-27
159994,35 Rue La Bruy re 9th arr 75009 Paris France,8.3,Timhotel Op ra Grands Magasins, No refrigerator in the room and double bed was queen size The rooms at Tim Hotel Blanche included nespresso but this one doesn t , Goood size of room and toilet ,7.1,"[' Leisure trip ', ' Family with young children ', ' Comfort Double Room ', ' Stayed 4 nights ', ' Submitted from a mobile device ']",48.879468200000005,2.3334957000000003,2017-07-31
160073,35 St James s Place Westminster Borough London SW1A 1NY United Kingdom,8.6,Dukes Hotel, See above, The problem is the Staff they are NOT hiring Londoner s anymore not even Brits and they know NOTHING about the City cannot even tell you where the Bus Stops are without looking at the computer Oddly enough the non European staff was better than the Eastern Europeans who absolutely didn t care about service ,8.8,"[' Solo traveler ', ' Superior Double Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",51.5055381,-0.1396885,2017-07-20
160147,350 Oxford Street Westminster Borough London W1C 1BY United Kingdom,8.1,Radisson Blu Edwardian Berkshire, No standard amenities you have to to ask for toothbrush or laundry bag to a staff which is not convenient The elevator is quite old which I had a not good experience, Location,5.8,"[' Business trip ', ' Solo traveler ', ' Standard Double Twin Room ', ' Stayed 6 nights ', ' Submitted from a mobile device ']",51.5146025,-0.1481978,2017-03-08
160702,354 Queenstown Road Battersea London SW8 4AE United Kingdom,8.6,Pestana Chelsea Bridge Hotel Spa, The view over the railways from my room The pool closed early , The bar open late and serving food that made a perfect little meal Quick service good choice Location next to the Battersea park just across the road Very easy to reach the hotel by bus good to know if you are actually living in hotel and going there for a city break for instance ,9.6,"[' Leisure trip ', ' Solo traveler ', ' Deluxe King Room ', ' Stayed 1 night ']",51.4815995,-0.1481053,2017-02-08
161412,36 37 Lancaster Gate Westminster Borough London W2 3NA United Kingdom,8.4,Arbor Hyde Park, Minor quibble Nespresso pods were all decaf Brand design made it difficult to identify caffeinated pods though myself and a staff member did try , Location modern design and decour nespresso machine Large comfortable room with great shower Very short walking distance to bus and Metro stops with central links Across the street from Hyde Park and very pleasant walk to Museum district ,10.0,"[' Leisure trip ', ' Solo traveler ', ' Club Double Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",51.512648799999994,-0.1803795,2017-03-08
162238,36 38 Rue Du Moulin 92170 Paris France,7.7,Mercure Paris Porte De Versailles Expo,No Negative, Assistance team at the restaurant during breakfast was less professional than expected hardfor them to catch the order right from other side the food served for dinner was not the one orderd ,7.9,"[' Leisure trip ', ' Family with young children ', ' Privilege Room with 1 Queen Size bed ', ' Stayed 5 nights ', ' Submitted from a mobile device ']",48.8268251,2.2912033,2017-09-07
162278,36 Great st Helens City of London London EC3A 6AP United Kingdom,7.4,Great St Helen Hotel, The room was small by American standards and we also brought an infant The hotel isn t kid friendly so unless you are ok with your toddler or kid sleeping in your bed this isn t the place for you There is massive construction going on six days a week outside so if you are looking to sleep in probably isn t going to happen Because it s the financial district nothing is open in this area on the weekends Had to take a taxi to get a coffee , Stafff was very accommodating hotel is located in the center of financial district Complimentary snacks and waters in the mini fridge Walking distance to great restaurants pubs and Tower of London ,7.9,"[' Leisure trip ', ' Family with young children ', ' Double Room ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",51.514958299999996,-0.08238689999999999,2017-02-08
162798,36 rue de Saint Quentin 10th arr 75010 Paris France,9.2,Hotel Whistler,No Negative, I loved the quaintness of this boutique hotel The staff were really friendly and helpful The bedroom and bathroom were really clean The breakfast was adequate I would definitely stay here again and would recommend it to others ,10.0,"[' Leisure trip ', ' Couple ', ' Double Room ', ' Stayed 3 nights ']",48.879314,2.3560185000000002,2017-03-08
162826,36 rue du Grenier Saint Lazare 3rd arr 75003 Paris France,8.8,Hotel Georgette, Booking com did not make it clear that my child could not stay Vincent and staff made a one time exception and we will always be grateful , Vincent was superb ,10.0,"[' Leisure trip ', ' Family with young children ', ' Deluxe Double Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",48.8632723,2.352691,2017-11-07
162877,36 rue Pierre Demours 17th arr 75017 Paris France,8.1,Westside Arc de Triomphe Hotel, Bathroom looked tired and was in need of a re fresh Grout was dirty Towels were thin cheap Fridge in room did not work Skip the 14Euro Breakfast and head to one of the many local bakeries for your morning meal and coffee , Good location with easy access to several Metro stations Nice neighborhood with good selection of restaurants and bakeries within easy walking distance Good value for money Room was clean and bed was comfortable Air Conditioning worked well Friendly staff ,8.3,"[' Leisure trip ', ' Couple ', ' Classic Double Room ', ' Stayed 6 nights ']",48.8811741,2.2948337000000003,2017-02-08
163170,36 rue Saint Ferdinand 17th arr 75017 Paris France,8.3,Etoile Saint Ferdinand, For a 4 star hotel I would expect better bathroom supplies Also in one room the bathroom door was not fully opening , Great location Near metro lines and the arc de triumph Friendly staff and clean rooms ,9.2,"[' Leisure trip ', ' Group ', ' Classic Double or Twin Room ', ' Stayed 1 night ']",48.8777895,2.2872498,2017-02-08
163269,36 Rue Saint Marc 2nd arr 75002 Paris France,9.3,H tel Saint Marc,No Negative, Excellent location and the hotel is perfect for business trips it s fresh comfortable quiet great bathroom amenities everything feels just right The staff are all very helpful friendly and professional The area is central vibrant lots of great dining options Absolutely to come back ,9.6,"[' Business trip ', ' Solo traveler ', ' Superior Room Swimming Pool Hammam Access upon reservation ', ' Stayed 2 nights ']",48.870886299999995,2.3382127999999995,2017-07-14
163345,368 370 Green Lanes London N4 1DA United Kingdom,7.5,United Lodge Hotel and Apartments, There was nothing i did not like, excellent everything you imagine to put in a room for convenience is in your room Best hotel room i have ever stayed in the staff very friendly and polite Recommended most definetely,7.5,"[' Business trip ', ' Solo traveler ', ' Classic Double Room ', ' Stayed 1 night ']",51.5743549,-0.0977567,2017-07-27
163568,37 Avenue De La Motte Picquet 7th arr 75007 Paris France,8.8,H tel Le Walt,No Negative, The room was spectacular clean and comfy We got an amazing view of the Eiffel Tower We had to leave for a couple of days and leave our luggage and the staff was so friendly they stored our luggage for free We had a blast and we re definitely coming back ,10.0,"[' Leisure trip ', ' Group ', ' Classic Double Room ', ' Stayed 3 nights ']",48.854716100000005,2.3066419999999996,2017-12-06
163631,37 Avenue Hoche 8th arr 75008 Paris France,9.3,H tel Le Royal Monceau Raffles Paris,No Negative, The room was very spacious and nicely arranged to separate business and leisure Friendly personnel extra nice The whole service The personnel was perfect and the room very comfortable ,10.0,"[' Leisure trip ', ' Solo traveler ', ' Superior Room with Spa Access Free Wifi ', ' Stayed 1 night ']",48.8756359,2.3004967,2017-10-06
163653,37 Eccleston Square Westminster Borough London SW1V 1PB United Kingdom,8.5,Eccleston Square Hotel, The breakfast service was an utter joke At 14 per head we had to ask for milk juice ran out of apple plates and fruit salad The service appeared disorganized and what we got was very poor value for money ,No Positive,4.6,"[' Leisure trip ', ' Couple ', ' Superior King Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",51.4911924,-0.1449474,2017-07-30
163825,37 Nottingham Place Westminster Borough London W1U 5LT United Kingdom,8.2,Nottingham Place Hotel, The bathroom was very small and uncomfortable The wood floor looked as unfinished job and had paint stains, The location of the hotel is perfect Close to Malyborne high street many options of bars restaurants and 10 minutes walking distance from Oxford Street We had the Duplex room We had nice city view The reception was in another building which on one hand makes you feel like home similar to apartment building but less comfortable when you need to go there ,7.9,"[' Leisure trip ', ' Couple ', ' Duplex ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",51.522143,-0.153385,2017-02-08
164072,37 rue Fran ois 1er 8th arr 75008 Paris France,8.1,Hotel Claridge Paris, The access to the lift for travelers carrying heavy luggage was a bit of a let down The lifts were also too small The friendliness of the staff and their willingness to assist made up for the inconvenience , The bed was big and comfortable The hotel was close to many good eateries and the metro station made it convenient to travel with ease Its location and close proximity to tourist attractions made it a perfect place to stay The staff was also very helpful and friendly ,10.0,"[' Leisure trip ', ' Couple ', ' Deluxe Room ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",48.868424299999994,2.3036244,2017-07-24
164259,372 Strand Westminster Borough London WC2R 0JJ United Kingdom,8.1,Strand Palace Hotel, The cleaning of the room was not super well We found hair and used soap in the bath One day we found the wet towels that we used the day before If you are OCD like us you will be a bit disappointed, The location is great Behind you is the covent garden and the market changes every three days and you can walk to Piccadilly Circus Metro is a walking distance You can walk as well to charing cross station Couple of blocks away Big Ben and Buckingham palace is not far at all by walking,8.3,"[' Leisure trip ', ' Family with young children ', ' Cosy Double Room ', ' Stayed 9 nights ', ' Submitted from a mobile device ']",51.5110993,-0.1208673,2017-03-08
168515,38 rue de l Echiquier 10th arr 75010 Paris France,9.1,H tel L Echiquier Op ra Paris MGallery by Sofitel, Carpet stained quite poor Lack of facilities in the hotel generally Check in staff tried to apply the wrong room rate to the room both on check in and check out I e no lesson learned first time around English language skills of staff could be a little better Not a 4 star experience more 3 star Room a little claustrophobic as it was at eye level with roof of courtyard covered bar , They did have a universal adaptor which I went down to collect from reception there was no offer to send it up Shower room clean ,6.3,"[' Business trip ', ' Solo traveler ', ' Classic Room with Queen Bed ', ' Stayed 1 night ', ' Submitted from a mobile device ']",48.8719889,2.3492912999999995,2017-07-29
168654,38 Rue Du Faubourg Saint Honore 8th arr 75008 Paris France,7.2,H tel De Castiglione, We would rather have a sink and running water in the toilet , The location was extremely good The staff were very friendly and professional The room was very nice The bathroom was very spacious We will certainly stay on the this hotel next time we visit Paris I do recommend it for people who wish to visit Paris and stay closer to everything ,9.2,"[' Leisure trip ', ' Travelers with friends ', ' Prestige Triple Room ', ' Stayed 5 nights ', ' Submitted from a mobile device ']",48.8691758,2.3205807000000003,2017-03-08
168855,380 Kensington High Street Kensington and Chelsea London W14 8NL United Kingdom,7.4,Hilton London Olympia, The underground car park also l mistakenly thought it was included in the price 37 for 24 hours which by London prices are not too bad but if l had know l would have gone by train, Location for Olympia was perfect only a 5 10 minute walk away,7.5,"[' Leisure trip ', ' Couple ', ' Twin Guest Room ', ' Stayed 1 night ']",51.496739899999994,-0.2064723,2017-03-08
169744,39 40 Bedford Place Bloomsbury Camden London WC1B 5JT United Kingdom,8.5,Grange Buckingham Hotel, From the street to the room we had to open 6 doors plus an elevator ride We understand they are fire doors but is pretty annoying sometimes , Location is awesome Staff is small but corteous and helpful Bedroom is cozy and we had amazing rest ,7.9,"[' Leisure trip ', ' Couple ', ' Standard Double Studio ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",51.5196124,-0.1239628,2017-06-29
169793,39 40 Cleveland Square Westminster Borough London W2 6DA United Kingdom,8.2,The Cleveland, Not all rooms were on lift landing floors and it can be quite difficult to carry huge and heavy bags up the stairs However the staff were very helpful with the bags , Quiet neighbourhood short distance to Hyde park and tube stations,9.2,"[' Leisure trip ', ' Family with young children ', ' Luxury 1 Bed Suite ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",51.513969200000005,-0.18282020000000002,2017-02-08
170082,39 40 Dorset Square Hotel Westminster Borough London NW1 6QN United Kingdom,9.0,Dorset Square Hotel, Although I appreciate this is a 4 star and not a 5 star it is nowhere near the standard of the other Firmdale hotels we have stayed at Room we had looked over a busy road not the leafy garden square and had just a shower no bath , Very friendly staff good cocktails in bar ,7.9,"[' Leisure trip ', ' Couple ', ' Suite ', ' Stayed 1 night ', ' Submitted from a mobile device ']",51.52263610000001,-0.16028710000000002,2017-07-13
170205,39 Avenue de l Op ra 2nd arr 75002 Paris France,9.1,Edouard 7 Paris Op ra,No Negative, My second stay here This time we were there for the Tour de France final The location near Champs Elysees was excellent for that Also good metro access to multiple lines The room itself was very big by Paris standards and very well appointed Nice breakfast Great selection of restaurants close by and bars too recommend Harry s bar for cocktails I came in on train to Gare de Lyon A very easy cab ride from there to hotel ,9.2,"[' Leisure trip ', ' Couple ', ' Deluxe Double Room with Balcony ', ' Stayed 3 nights ']",48.8683133,2.3330851000000004,2017-01-08
170389,39 Avenue de Wagram 17th arr 75017 Paris France,8.4,Renaissance Paris Arc de Triomphe Hotel, We wait about more than half hour to check in It was 1130pm Its not look like 5 star hotel The room in the picture on booking look different than we get , Center spot,6.7,"[' Leisure trip ', ' Couple ', ' Deluxe Double Room with Courtyard View ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",48.8772093,2.2968266,2017-01-06
